supplier_id,supplier_name,category,region,on_time_delivery_pct,quality_score,cost_variance_pct,avg_lead_time_days,defect_rate_pct,compliance_score,risk_score,total_orders,avg_order_value_usd,late_deliveries,contract_breach_count,supplier_performance_score,supplier_segment
SUP1193,Supplier_193,Electronics,APAC,91.4,70.99,12.56,27.2,5.77,94.8,70.88,165,160067.23,44,2,69.65,Approved
SUP1194,Supplier_194,Mechanical Parts,Middle East,95.68,92.28,-1.4,17.9,2.06,85.44,24.89,156,193962.34,7,3,88.59,Strategic
SUP1195,Supplier_195,Packaging,India,98.21,78.39,8.33,50.0,5.76,66.59,32.44,494,96121.03,21,0,76.01,Preferred
SUP1196,Supplier_196,Packaging,APAC,91.48,81.86,6.47,23.6,0.22,77.19,33.42,96,116862.37,28,1,82.74,Preferred
SUP1197,Supplier_197,Raw Materials,Middle East,72.62,77.31,13.29,50.5,3.0,71.49,2.57,29,91737.07,1,4,75.83,Preferred
SUP1198,Supplier_198,Chemicals,North America,87.53,61.76,10.52,5.0,5.01,89.47,34.1,278,135355.28,40,1,72.46,Preferred
SUP1199,Supplier_199,Mechanical Parts,APAC,77.5,66.63,4.17,21.9,1.17,78.14,80.33,342,127834.5,48,4,68.28,Approved
SUP1200,Supplier_200,Electronics,APAC,70.19,77.82,6.43,18.3,6.58,99.57,89.73,52,8477.59,49,4,64.97,Approved
SUP1201,Supplier_201,Packaging,North America,93.63,68.37,12.46,17.8,1.88,62.19,51.82,404,110526.5,44,1,71.44,Preferred
SUP1202,Supplier_202,Raw Materials,Europe,61.54,62.0,-0.01,8.8,5.22,74.2,45.55,441,22254.94,0,2,64.96,Approved
SUP1203,Supplier_203,Raw Materials,India,96.07,93.75,-1.83,15.3,3.24,79.28,3.08,408,10144.81,43,3,90.1,Strategic
SUP1204,Supplier_204,Mechanical Parts,Europe,78.46,99.25,-9.73,35.6,4.77,80.13,87.92,410,159283.45,19,0,70.57,Preferred
SUP1205,Supplier_205,Packaging,Middle East,85.49,91.73,10.66,21.0,0.86,72.64,1.3,447,55436.72,20,0,85.95,Strategic
SUP1206,Supplier_206,Chemicals,North America,86.37,94.15,10.02,28.0,0.14,89.17,94.48,315,71427.74,36,0,76.19,Preferred
SUP1207,Supplier_207,Packaging,Europe,95.8,69.68,-7.39,25.7,7.28,94.99,48.92,37,17496.49,7,1,73.78,Preferred
SUP1208,Supplier_208,Mechanical Parts,APAC,85.47,98.43,4.42,53.2,2.16,97.55,34.19,476,40002.55,26,1,86.99,Strategic
SUP1209,Supplier_209,Mechanical Parts,Middle East,84.56,67.88,1.6,54.8,6.56,92.2,92.42,269,154292.94,46,2,66.04,Approved
SUP1210,Supplier_210,Packaging,Middle East,62.67,98.06,-7.03,32.1,7.99,94.02,2.44,31,101238.51,34,0,78.82,Preferred
SUP1211,Supplier_211,Mechanical Parts,Europe,80.74,99.79,14.51,23.2,1.69,82.02,58.14,479,176730.35,5,2,77.67,Preferred
SUP1212,Supplier_212,Packaging,Europe,66.01,88.47,-4.63,10.9,2.12,93.04,54.89,384,82462.22,44,0,75.83,Preferred
SUP1213,Supplier_213,Electronics,North America,89.5,99.25,-8.32,57.4,5.3,72.14,21.93,110,57396.64,43,1,81.92,Preferred
SUP1214,Supplier_214,Packaging,India,80.49,82.78,4.87,8.3,7.72,75.94,42.89,48,72781.96,18,3,71.59,Preferred
SUP1215,Supplier_215,Packaging,Europe,87.21,70.38,8.47,21.4,7.33,72.68,65.23,299,143990.5,17,3,65.64,Approved
SUP1216,Supplier_216,Mechanical Parts,Europe,61.67,77.48,-9.19,21.4,4.02,78.7,72.71,362,113226.11,0,3,63.91,Approved
SUP1217,Supplier_217,Mechanical Parts,APAC,63.39,83.74,6.47,22.6,6.36,71.42,0.07,309,181317.29,24,3,74.18,Preferred
SUP1218,Supplier_218,Raw Materials,Middle East,88.65,62.92,3.31,14.0,1.09,98.46,93.69,179,122422.91,26,4,71.53,Preferred
SUP1219,Supplier_219,Raw Materials,India,62.88,84.89,-7.42,48.1,7.82,72.51,16.45,305,101138.55,6,0,70.31,Preferred
SUP1220,Supplier_220,Electronics,APAC,62.85,99.25,-5.69,11.7,7.71,63.92,23.36,362,158221.78,43,3,72.19,Preferred
SUP1221,Supplier_221,Raw Materials,North America,60.48,67.6,4.2,39.9,1.31,81.07,26.35,405,189769.1,41,4,72.66,Preferred
SUP1222,Supplier_222,Packaging,North America,98.26,91.7,-2.59,11.8,2.4,62.28,3.78,139,74389.95,28,4,88.09,Strategic
SUP1223,Supplier_223,Mechanical Parts,Europe,89.5,96.32,13.46,8.9,0.8,64.42,12.31,165,53725.86,30,4,84.43,Preferred
SUP1224,Supplier_224,Raw Materials,Europe,74.13,97.75,10.47,55.0,2.17,68.78,98.63,83,125162.39,43,2,68.18,Approved
SUP1225,Supplier_225,Raw Materials,North America,71.86,98.41,14.59,15.5,6.53,78.57,31.52,351,102280.2,42,2,73.72,Preferred
SUP1226,Supplier_226,Electronics,Europe,73.99,80.86,-3.51,50.2,3.03,77.33,11.53,474,197891.19,35,4,79.5,Preferred
SUP1227,Supplier_227,Electronics,India,90.99,99.09,14.24,35.0,0.71,91.99,10.7,99,95160.55,18,3,89.73,Strategic
SUP1228,Supplier_228,Packaging,Europe,86.45,90.29,0.78,9.3,2.74,89.58,71.95,76,19494.65,5,0,78.86,Preferred
SUP1229,Supplier_229,Mechanical Parts,Middle East,67.41,66.47,-1.31,57.5,7.85,77.05,85.46,464,195586.97,24,1,58.97,Approved
SUP1230,Supplier_230,Electronics,Europe,66.96,79.08,-8.74,18.6,5.04,73.35,25.7,245,169499.45,30,2,71.0,Preferred
SUP1231,Supplier_231,Raw Materials,APAC,63.94,88.73,-8.68,52.3,3.33,72.66,2.09,209,39758.78,8,3,77.82,Preferred
SUP1232,Supplier_232,Mechanical Parts,India,86.41,69.89,7.3,14.3,1.33,90.96,22.31,477,181398.02,19,3,80.85,Preferred
SUP1233,Supplier_233,Mechanical Parts,APAC,90.57,85.62,1.45,52.0,7.89,62.08,5.65,341,71430.03,9,1,79.19,Preferred
SUP1234,Supplier_234,Raw Materials,APAC,70.6,86.66,-4.34,5.7,6.57,60.51,10.34,236,78536.84,36,1,73.97,Preferred
SUP1235,Supplier_235,Electronics,Middle East,60.84,66.51,5.35,33.1,2.25,91.82,43.15,474,181746.34,26,3,70.28,Preferred
SUP1236,Supplier_236,Raw Materials,India,63.29,82.6,-3.68,47.3,0.56,79.09,22.99,357,108372.54,12,1,78.22,Preferred
SUP1237,Supplier_237,Mechanical Parts,India,98.71,90.87,4.44,56.4,0.45,65.24,51.59,242,31863.77,40,3,82.66,Preferred
SUP1238,Supplier_238,Chemicals,India,71.82,79.96,-1.02,55.0,0.96,69.42,25.35,275,76965.95,1,1,78.29,Preferred
SUP1239,Supplier_239,Chemicals,India,90.77,60.48,10.59,50.1,4.65,97.3,94.05,95,145809.0,49,1,65.47,Approved
SUP1240,Supplier_240,Packaging,India,84.99,60.36,10.52,53.9,7.43,94.38,90.59,111,38965.92,20,3,61.32,Approved
SUP1241,Supplier_241,Raw Materials,Middle East,75.28,74.28,1.93,16.0,3.97,88.39,56.68,450,120095.08,32,4,72.6,Preferred
SUP1242,Supplier_242,Raw Materials,Europe,68.23,97.05,-1.23,20.6,6.74,79.29,35.44,490,140578.46,23,3,75.79,Preferred
SUP1243,Supplier_243,Packaging,APAC,64.86,69.15,-0.94,20.9,3.57,80.81,38.11,223,72051.45,43,0,71.06,Preferred
SUP1244,Supplier_244,Packaging,India,84.6,85.37,10.14,25.7,5.67,99.01,41.19,117,140306.73,41,1,77.45,Preferred
SUP1245,Supplier_245,Packaging,Europe,90.99,68.88,-1.8,26.6,5.85,98.63,72.76,174,177420.43,33,2,72.46,Preferred
SUP1246,Supplier_246,Mechanical Parts,Europe,85.76,72.87,-4.77,35.0,1.39,68.61,45.16,470,97062.77,8,1,75.35,Preferred
SUP1247,Supplier_247,Raw Materials,APAC,81.21,93.92,-7.88,13.8,2.89,92.44,85.67,100,79667.32,1,0,74.54,Preferred
SUP1248,Supplier_248,Mechanical Parts,Middle East,61.68,89.15,1.67,43.0,5.1,67.89,94.41,201,53975.89,29,2,63.13,Approved
SUP1249,Supplier_249,Packaging,North America,98.74,63.82,2.05,14.2,0.57,68.54,33.59,344,122820.07,21,2,79.7,Preferred
SUP1250,Supplier_250,Raw Materials,North America,91.95,77.15,11.02,22.1,2.89,87.04,56.07,95,176571.15,45,3,75.72,Preferred
SUP1251,Supplier_251,Mechanical Parts,Europe,71.71,61.17,-4.47,32.7,4.28,76.2,9.51,231,68308.95,10,4,72.6,Preferred
SUP1252,Supplier_252,Mechanical Parts,APAC,99.2,79.24,-0.48,48.8,7.97,97.26,20.05,372,82265.93,42,3,83.08,Preferred
SUP1253,Supplier_253,Packaging,North America,84.08,86.5,10.21,45.7,3.8,63.56,41.35,433,84291.98,16,2,74.11,Preferred
SUP1254,Supplier_254,Raw Materials,Europe,83.3,64.74,10.59,40.5,6.53,80.46,20.62,110,114358.41,35,2,71.28,Preferred
SUP1255,Supplier_255,Packaging,Middle East,89.92,71.56,-0.38,13.6,3.46,96.74,87.66,235,49539.75,12,4,73.16,Preferred
SUP1256,Supplier_256,Raw Materials,North America,92.47,75.91,1.48,35.1,6.37,96.16,15.83,373,165331.18,6,1,82.33,Preferred
SUP1257,Supplier_257,Chemicals,Europe,86.26,96.78,-2.42,9.8,4.76,66.26,45.57,69,62642.44,15,4,78.38,Preferred
SUP1258,Supplier_258,Electronics,Europe,65.12,99.73,13.31,25.8,7.09,74.67,60.57,491,142545.72,32,3,67.24,Approved
SUP1259,Supplier_259,Electronics,India,73.53,61.8,-7.03,27.7,3.29,84.76,69.19,259,105077.07,44,1,65.77,Approved
SUP1260,Supplier_260,Electronics,Middle East,97.12,90.44,13.34,7.2,4.83,66.38,38.31,57,119250.03,0,3,77.27,Preferred
SUP1261,Supplier_261,Packaging,India,68.98,74.87,7.1,20.1,5.04,98.72,86.91,126,40023.7,10,4,65.56,Approved
SUP1262,Supplier_262,Chemicals,APAC,74.89,75.7,3.29,57.6,3.34,96.59,56.83,236,148329.52,5,1,74.28,Preferred
SUP1263,Supplier_263,Raw Materials,India,77.28,90.17,-9.18,57.4,1.15,66.68,43.95,371,41781.0,19,4,76.37,Preferred
SUP1264,Supplier_264,Mechanical Parts,India,77.58,96.74,1.89,24.4,0.75,64.85,6.72,412,27127.36,34,0,85.98,Strategic
SUP1265,Supplier_265,Raw Materials,North America,84.52,98.04,0.19,7.4,0.13,63.42,46.47,465,111602.5,43,2,83.0,Preferred
SUP1266,Supplier_266,Mechanical Parts,Europe,97.72,83.08,-5.97,14.9,6.99,96.38,82.07,496,143312.94,36,1,73.57,Preferred
SUP1267,Supplier_267,Raw Materials,Middle East,69.63,74.28,6.41,26.6,1.89,67.74,61.45,42,14756.99,40,2,68.11,Approved
SUP1268,Supplier_268,Chemicals,India,64.86,91.5,14.28,57.1,1.69,76.65,83.22,53,18532.09,25,0,67.13,Approved
SUP1269,Supplier_269,Mechanical Parts,Middle East,67.9,70.04,4.05,12.8,5.89,77.95,49.4,485,161522.44,11,1,66.66,Approved
SUP1270,Supplier_270,Packaging,India,95.48,82.56,7.87,47.0,2.56,83.96,11.85,174,162761.38,29,2,85.41,Strategic
SUP1271,Supplier_271,Raw Materials,APAC,85.83,74.34,-8.29,11.0,4.05,62.87,1.36,377,52834.42,27,2,77.73,Preferred
SUP1272,Supplier_272,Raw Materials,India,71.44,86.27,0.44,59.0,1.3,69.07,30.32,354,124969.5,26,1,78.81,Preferred
SUP1273,Supplier_273,Mechanical Parts,North America,92.64,69.62,-7.09,26.0,7.68,97.26,69.8,301,91420.11,41,2,69.88,Approved
SUP1274,Supplier_274,Packaging,Europe,94.45,67.66,5.32,47.6,6.81,96.34,79.03,346,128375.73,18,2,69.72,Approved
SUP1275,Supplier_275,Packaging,APAC,93.86,96.73,13.46,23.8,6.91,91.25,29.58,353,173261.46,4,1,80.95,Preferred
SUP1276,Supplier_276,Chemicals,India,96.76,64.07,6.54,39.5,3.25,60.78,49.57,414,20572.0,4,2,71.68,Preferred
SUP1277,Supplier_277,Packaging,Middle East,70.09,80.24,-8.08,15.6,6.1,73.08,42.11,395,156706.96,40,2,68.7,Approved
SUP1278,Supplier_278,Packaging,APAC,90.2,68.83,-1.13,13.0,1.15,85.12,41.05,296,101140.68,26,3,79.88,Preferred
SUP1279,Supplier_279,Packaging,APAC,78.42,61.56,3.77,56.6,0.07,71.01,23.13,373,115004.75,27,3,75.98,Preferred
SUP1280,Supplier_280,Electronics,India,93.68,61.44,0.08,55.5,0.16,96.38,13.64,234,132516.62,25,0,86.01,Strategic
SUP1281,Supplier_281,Chemicals,APAC,89.14,67.01,10.84,53.8,4.69,85.36,19.67,295,184911.51,26,3,75.95,Preferred
SUP1282,Supplier_282,Raw Materials,Middle East,91.06,94.67,10.37,39.4,3.64,62.88,5.53,213,16060.39,48,3,83.28,Preferred
SUP1283,Supplier_283,Mechanical Parts,APAC,86.25,71.3,5.3,49.5,4.14,96.36,19.81,181,10747.89,41,0,80.14,Preferred
SUP1284,Supplier_284,Raw Materials,Middle East,67.1,98.02,-0.66,8.8,0.06,98.31,0.92,21,39761.05,20,2,90.63,Strategic
SUP1285,Supplier_285,Chemicals,India,81.8,83.26,-3.62,23.4,3.38,63.11,62.73,316,197357.31,0,2,71.86,Preferred
SUP1286,Supplier_286,Mechanical Parts,Europe,99.39,77.46,-7.35,22.3,5.74,81.29,31.64,130,144439.89,27,3,78.72,Preferred
SUP1287,Supplier_287,Chemicals,APAC,97.5,83.2,-1.13,40.0,3.54,72.13,97.31,442,124855.02,47,0,72.52,Preferred
SUP1288,Supplier_288,Packaging,Europe,61.73,80.67,0.33,24.6,5.86,75.71,19.37,253,14172.62,14,2,73.09,Preferred
SUP1289,Supplier_289,Mechanical Parts,Middle East,66.59,90.35,6.9,13.2,1.86,67.19,34.58,161,176426.49,16,4,75.2,Preferred
SUP1290,Supplier_290,Packaging,APAC,65.27,71.3,6.45,37.8,6.51,83.12,35.78,161,163487.59,25,1,67.8,Approved
SUP1291,Supplier_291,Raw Materials,North America,89.04,74.12,-8.25,49.8,4.71,98.32,0.85,197,134636.01,19,1,83.23,Preferred
SUP1292,Supplier_292,Raw Materials,Europe,92.71,95.76,-0.12,26.0,1.69,80.12,83.92,404,71130.51,24,1,79.82,Preferred
SUP1293,Supplier_293,Mechanical Parts,APAC,68.54,97.86,-5.46,12.3,1.89,63.32,3.2,22,18748.47,12,3,82.09,Preferred
SUP1294,Supplier_294,Mechanical Parts,Europe,80.23,95.7,-6.08,15.8,5.02,84.8,94.02,100,118107.51,32,1,70.76,Preferred
SUP1295,Supplier_295,Chemicals,APAC,93.63,76.78,10.68,18.1,6.64,73.61,89.21,209,145340.44,24,1,65.42,Approved
SUP1296,Supplier_296,Chemicals,India,89.31,91.21,-8.95,21.5,3.33,94.24,53.55,83,23376.87,7,4,80.22,Preferred
SUP1297,Supplier_297,Packaging,Europe,81.69,79.05,0.48,40.4,2.07,77.39,54.36,265,128584.69,4,2,76.43,Preferred
SUP1298,Supplier_298,Mechanical Parts,North America,83.61,79.9,-5.79,38.1,6.94,67.71,65.38,465,60841.38,5,4,67.55,Approved
SUP1299,Supplier_299,Raw Materials,North America,80.33,68.19,11.98,43.3,5.35,67.64,38.71,457,154027.62,22,3,67.53,Approved
SUP1300,Supplier_300,Chemicals,Middle East,71.9,83.65,3.93,24.9,3.58,90.75,64.72,285,110225.09,29,1,73.03,Preferred
SUP1301,Supplier_301,Chemicals,APAC,82.6,67.45,-4.22,50.3,3.9,70.62,4.48,337,30162.17,13,2,77.27,Preferred
SUP1302,Supplier_302,Raw Materials,Europe,87.56,73.26,2.56,16.2,1.63,90.69,5.4,338,107671.29,22,1,85.6,Strategic
SUP1303,Supplier_303,Chemicals,Middle East,94.93,94.2,8.29,30.8,5.01,68.24,45.72,80,82168.69,10,1,78.16,Preferred
SUP1304,Supplier_304,Packaging,Europe,85.45,68.28,13.95,49.1,2.87,72.87,54.96,87,40169.41,30,3,69.06,Approved
SUP1305,Supplier_305,Mechanical Parts,APAC,90.44,62.85,-4.49,14.9,7.97,78.62,88.78,293,169095.57,5,1,62.48,Approved
SUP1306,Supplier_306,Raw Materials,North America,66.4,62.76,12.15,11.0,3.84,97.73,10.47,139,7150.55,10,0,72.89,Preferred
SUP1307,Supplier_307,Mechanical Parts,India,78.46,97.63,13.36,53.6,3.89,97.27,82.26,386,65865.01,12,2,73.38,Preferred
SUP1308,Supplier_308,Chemicals,North America,60.37,80.28,12.91,23.9,4.53,68.27,21.0,52,7456.03,11,2,68.85,Approved
SUP1309,Supplier_309,Chemicals,Middle East,69.87,76.38,5.89,42.6,7.33,74.33,39.41,17,23721.35,1,0,67.7,Approved
SUP1310,Supplier_310,Raw Materials,India,89.06,92.44,5.75,6.4,6.41,65.98,31.66,22,62933.76,34,3,77.39,Preferred
SUP1311,Supplier_311,Packaging,Middle East,99.67,93.43,0.08,43.0,3.61,80.4,40.02,222,15582.88,35,1,85.7,Strategic
SUP1312,Supplier_312,Electronics,APAC,63.97,73.29,8.81,22.4,5.75,78.42,15.05,120,121342.95,16,1,70.43,Preferred
SUP1313,Supplier_313,Raw Materials,India,76.06,87.74,3.28,8.1,4.69,96.03,50.36,485,21938.27,27,2,77.13,Preferred
SUP1314,Supplier_314,Electronics,Middle East,92.0,90.84,6.94,38.5,3.94,97.2,80.16,300,141834.16,27,3,77.24,Preferred
SUP1315,Supplier_315,Electronics,APAC,68.16,86.19,0.71,18.2,1.54,75.34,44.15,32,15265.21,21,3,76.51,Preferred
SUP1316,Supplier_316,Packaging,North America,82.2,66.06,8.29,26.3,3.71,79.67,49.06,311,16565.23,37,3,70.46,Preferred
SUP1317,Supplier_317,Electronics,APAC,89.32,95.04,10.61,9.4,1.97,95.85,84.88,263,64538.55,6,1,77.58,Preferred
SUP1318,Supplier_318,Electronics,Europe,84.64,81.56,-6.34,13.1,7.32,92.27,70.61,24,179831.45,14,3,70.58,Preferred
SUP1319,Supplier_319,Packaging,APAC,67.52,71.3,10.82,21.4,2.68,60.15,49.05,139,130071.68,31,0,65.44,Approved
SUP1320,Supplier_320,Electronics,APAC,74.22,77.01,3.51,9.9,7.62,72.8,25.77,70,155175.6,10,4,71.19,Preferred
SUP1321,Supplier_321,Electronics,Europe,91.35,61.5,11.12,55.1,4.26,76.87,88.49,124,32602.66,23,3,63.87,Approved
SUP1322,Supplier_322,Electronics,Middle East,82.17,65.11,0.78,5.3,5.05,69.19,57.7,469,167654.46,2,4,68.26,Approved
SUP1323,Supplier_323,Raw Materials,Middle East,60.21,90.62,-0.52,31.6,4.34,67.98,22.11,329,6588.52,29,1,75.09,Preferred
SUP1324,Supplier_324,Raw Materials,APAC,90.44,60.0,12.88,11.8,1.04,61.51,26.91,317,46546.18,5,3,72.9,Preferred
SUP1325,Supplier_325,Raw Materials,Europe,61.41,76.66,-3.72,21.9,3.01,85.73,80.31,429,125138.0,1,2,66.2,Approved
SUP1326,Supplier_326,Packaging,Europe,89.83,80.9,11.11,55.9,0.79,70.5,4.41,460,78173.05,13,1,83.47,Preferred
SUP1327,Supplier_327,Chemicals,North America,68.1,62.19,2.1,13.9,4.98,62.09,99.21,334,196917.71,40,0,56.39,Approved
SUP1328,Supplier_328,Electronics,Middle East,98.32,98.92,2.85,58.1,3.57,69.24,13.04,76,10916.15,17,0,88.32,Strategic
SUP1329,Supplier_329,Electronics,India,74.72,69.05,-2.29,16.3,6.22,92.08,79.61,258,199726.64,43,4,65.91,Approved
SUP1330,Supplier_330,Packaging,Middle East,73.08,72.17,4.33,45.8,1.76,94.06,39.48,184,126607.43,30,4,76.44,Preferred
SUP1331,Supplier_331,Electronics,Middle East,65.96,72.16,-1.87,35.1,1.32,79.32,49.22,348,113947.86,12,2,72.16,Preferred
SUP1332,Supplier_332,Raw Materials,North America,72.22,69.22,-9.02,53.6,3.25,76.64,88.07,11,16604.93,25,2,62.69,Approved
SUP1333,Supplier_333,Chemicals,India,95.07,60.06,-3.2,35.5,7.41,99.11,41.29,181,58299.13,43,0,74.09,Preferred
SUP1334,Supplier_334,Mechanical Parts,North America,99.85,89.17,-9.84,34.4,5.68,68.02,53.75,494,185309.22,11,3,75.76,Preferred
SUP1335,Supplier_335,Electronics,India,74.73,98.67,14.46,15.8,3.35,68.61,4.93,457,74077.97,17,0,80.21,Preferred
SUP1336,Supplier_336,Raw Materials,APAC,77.94,68.97,14.14,14.1,4.14,71.67,0.23,474,134022.37,8,0,74.06,Preferred
SUP1337,Supplier_337,Mechanical Parts,India,88.88,86.52,-0.12,55.4,0.67,66.91,24.48,343,199901.79,48,2,84.51,Preferred
SUP1338,Supplier_338,Chemicals,North America,95.45,89.68,8.21,23.0,7.88,75.17,68.06,293,56298.59,20,4,72.01,Preferred
SUP1339,Supplier_339,Mechanical Parts,Middle East,83.72,93.94,-1.35,25.5,5.33,96.43,12.13,484,117335.77,47,2,86.32,Strategic
SUP1340,Supplier_340,Raw Materials,India,75.66,76.91,6.78,46.8,2.28,84.61,11.38,63,140805.37,48,2,79.81,Preferred
SUP1341,Supplier_341,Mechanical Parts,India,76.5,72.12,10.14,23.6,4.69,76.48,41.1,467,37102.31,39,2,69.73,Approved
SUP1342,Supplier_342,Packaging,Europe,87.82,73.01,13.67,57.4,0.88,97.38,64.78,76,33991.15,42,0,75.12,Preferred
SUP1343,Supplier_343,Mechanical Parts,Middle East,60.13,88.5,0.01,45.6,7.73,61.94,71.21,429,93980.04,23,3,63.03,Approved
SUP1344,Supplier_344,Electronics,APAC,84.78,92.67,9.58,37.9,1.4,68.41,17.85,111,80233.44,33,0,82.67,Preferred
SUP1345,Supplier_345,Electronics,North America,74.22,67.26,-3.35,53.4,5.18,82.64,7.96,129,144272.01,7,1,75.39,Preferred
SUP1346,Supplier_346,Packaging,APAC,91.77,74.84,14.76,7.7,1.96,84.62,94.04,200,18554.21,43,2,68.85,Approved
SUP1347,Supplier_347,Raw Materials,Middle East,63.72,96.08,-9.36,19.1,5.74,61.58,26.07,418,194572.49,32,2,71.73,Preferred
SUP1348,Supplier_348,Electronics,India,83.53,92.27,5.09,30.6,6.21,76.12,85.33,479,7784.01,22,1,69.83,Approved
SUP1349,Supplier_349,Chemicals,India,79.24,99.39,6.49,17.5,5.39,85.97,86.35,313,122256.78,12,2,72.26,Preferred
SUP1350,Supplier_350,Electronics,Middle East,85.69,90.17,7.2,45.9,4.92,87.92,77.25,432,114713.36,48,2,73.49,Preferred
SUP1351,Supplier_351,Electronics,India,62.59,75.73,-6.99,55.6,7.14,85.53,16.88,56,31269.57,13,2,70.64,Preferred
SUP1352,Supplier_352,Raw Materials,India,83.2,83.63,13.46,28.3,0.63,72.82,82.18,231,34428.62,13,1,70.64,Preferred
SUP1353,Supplier_353,Mechanical Parts,India,82.46,86.44,-5.47,23.8,2.65,63.74,76.93,30,159572.11,15,0,70.96,Preferred
SUP1354,Supplier_354,Electronics,North America,82.43,63.14,5.57,57.9,1.99,77.08,59.67,167,178074.68,48,2,70.34,Preferred
SUP1355,Supplier_355,Packaging,North America,84.14,81.78,-4.43,29.5,7.9,65.15,33.72,357,60188.31,37,3,71.97,Preferred
SUP1356,Supplier_356,Mechanical Parts,Europe,87.06,88.37,-2.32,31.9,3.12,97.9,26.25,168,90402.97,38,1,85.79,Strategic
SUP1357,Supplier_357,Chemicals,APAC,92.2,66.69,3.66,24.3,5.86,79.01,12.19,386,74224.03,25,4,77.79,Preferred
SUP1358,Supplier_358,Raw Materials,Middle East,70.79,91.23,0.43,55.0,5.48,72.69,50.98,381,19146.67,25,1,73.15,Preferred
SUP1359,Supplier_359,Chemicals,Middle East,93.0,83.35,-5.99,36.3,1.7,90.65,58.53,419,136274.83,0,0,80.41,Preferred
SUP1360,Supplier_360,Mechanical Parts,Middle East,79.93,98.09,-5.73,46.9,1.91,79.92,35.93,244,165912.62,31,1,82.47,Preferred
SUP1361,Supplier_361,Mechanical Parts,Europe,63.08,61.7,0.45,49.6,2.25,72.4,47.54,159,64451.47,14,4,67.54,Approved
SUP1362,Supplier_362,Mechanical Parts,North America,62.34,70.61,8.93,23.8,3.29,92.48,36.35,414,198084.28,20,3,70.69,Preferred
SUP1363,Supplier_363,Chemicals,Europe,73.37,84.06,12.45,28.9,1.87,94.69,64.1,266,19791.05,17,4,73.34,Preferred
SUP1364,Supplier_364,Mechanical Parts,Middle East,91.4,71.86,-7.9,51.7,0.16,86.92,90.13,174,134049.19,29,1,72.8,Preferred
SUP1365,Supplier_365,Chemicals,APAC,88.31,88.58,-0.17,25.0,7.04,61.88,16.39,86,92404.46,12,4,78.96,Preferred
SUP1366,Supplier_366,Mechanical Parts,India,91.54,90.36,-7.49,48.7,7.72,82.65,38.14,94,92087.37,23,1,77.18,Preferred
SUP1367,Supplier_367,Packaging,North America,80.69,64.1,-9.59,56.8,2.73,90.53,14.09,55,94240.9,29,3,77.06,Preferred
SUP1368,Supplier_368,Mechanical Parts,North America,77.61,80.55,6.54,39.3,2.71,65.46,62.49,402,55442.95,1,3,70.31,Preferred
SUP1369,Supplier_369,Chemicals,Europe,65.9,80.36,5.06,45.8,0.06,69.15,72.89,410,144534.75,18,0,69.43,Approved
SUP1370,Supplier_370,Electronics,North America,73.13,74.77,-5.92,49.3,5.44,95.3,93.19,56,145707.42,46,3,65.08,Approved
SUP1371,Supplier_371,Mechanical Parts,Middle East,77.36,97.32,-4.15,51.5,6.6,60.8,27.89,222,60067.44,43,2,75.76,Preferred
SUP1372,Supplier_372,Electronics,Middle East,63.54,93.1,-9.41,26.7,1.17,90.11,95.02,488,167884.76,46,4,69.43,Approved
SUP1373,Supplier_373,Packaging,Europe,68.82,87.89,10.87,7.8,1.28,78.95,6.33,496,66784.76,24,4,80.53,Preferred
SUP1374,Supplier_374,Raw Materials,Middle East,83.93,88.57,14.37,27.1,6.32,77.87,60.3,68,146393.16,49,1,70.13,Preferred
SUP1375,Supplier_375,Packaging,APAC,89.43,78.47,-6.61,42.1,4.93,60.28,5.71,63,28594.95,13,3,78.25,Preferred
SUP1376,Supplier_376,Mechanical Parts,Europe,99.93,96.84,-4.21,29.8,0.36,92.78,89.38,351,37896.82,5,0,83.08,Preferred
SUP1377,Supplier_377,Electronics,APAC,97.32,87.78,11.71,46.2,4.98,74.39,52.98,21,66580.15,11,0,75.99,Preferred
SUP1378,Supplier_378,Electronics,India,85.7,89.16,13.16,24.6,2.47,81.63,66.93,201,120805.38,19,0,74.5,Preferred
SUP1379,Supplier_379,Chemicals,APAC,76.85,94.47,0.49,39.9,2.95,87.09,83.16,15,130874.74,22,2,75.32,Preferred
SUP1380,Supplier_380,Electronics,India,85.45,70.96,-8.73,15.3,6.16,88.11,15.03,318,82289.45,29,3,76.29,Preferred
SUP1381,Supplier_381,Chemicals,India,91.43,92.28,-9.02,46.2,6.49,98.24,3.86,153,20178.63,29,0,85.89,Strategic
SUP1382,Supplier_382,Raw Materials,APAC,64.73,67.81,4.35,35.0,3.2,81.25,87.89,355,77858.76,37,2,62.63,Approved
SUP1383,Supplier_383,Mechanical Parts,Europe,76.4,73.81,-0.18,16.2,7.58,75.99,31.49,270,139309.67,29,4,71.59,Preferred
SUP1384,Supplier_384,Chemicals,Middle East,93.59,73.42,-9.28,21.1,3.25,98.15,12.9,82,135844.11,40,1,83.51,Preferred
SUP1385,Supplier_385,Raw Materials,Middle East,75.35,99.14,4.58,46.2,6.17,85.68,46.85,183,36238.3,29,3,76.9,Preferred
SUP1386,Supplier_386,Electronics,India,82.87,94.26,-9.72,31.5,3.87,71.93,59.83,241,6517.87,35,3,74.31,Preferred
